2023,Jan,Sun,,Moon,,,Tide,,,,2023,Feb,Sun,,Moon,,,Tide,,,,2023,Mar,Sun,,Moon,,,Tide,,,,2023,Apr,Sun,,Moon,,,Tide,,,,2023,May,Sun,,Moon,,,Tide,,,,2023,Jun,Sun,,Moon,,,Tide,,,,2023,Jul,Sun,,Moon,,,Tide,,,,2023,Aug,Sun,,Moon,,,Tide,,,,2023,Sep,Sun,,Moon,,,Tide,,,,2023,Oct,Sun,,Moon,,,Tide,,,,2023,Nov,Sun,,Moon,,,Tide,,,,2023,Dec,Sun,,Moon,,,Tide,,
,,Rise,Set,Rise,Set,Fraction,Time,Height,H/L,,,,Rise,Set,Rise,Set,Fraction,Time,Height,H/L,,,,Rise,Set,Rise,Set,Fraction,Time,Height,H/L,,,,Rise,Set,Rise,Set,Fraction,Time,Height,H/L,,,,Rise,Set,Rise,Set,Fraction,Time,Height,H/L,,,,Rise,Set,Rise,Set,Fraction,Time,Height,H/L,,,,Rise,Set,Rise,Set,Fraction,Time,Height,H/L,,,,Rise,Set,Rise,Set,Fraction,Time,Height,H/L,,,,Rise,Set,Rise,Set,Fraction,Time,Height,H/L,,,,Rise,Set,Rise,Set,Fraction,Time,Height,H/L,,,,Rise,Set,Rise,Set,Fraction,Time,Height,H/L,,,,Rise,Set,Rise,Set,Fraction,Time,Height,H/L
,1,7.07 am,7.10 pm,2.42 pm,2.21 am,0.67,00:09,1.3 m,L,,,1,7.17 am,7.20 pm,3.50 pm,3.30 am,0.78,01:35,1.9 m,L,,,1,7.15 am,7.20 pm,2.36 pm,2.15 am,0.63,04:24,2.4 m,H,,,1,7.05 am,7.13 pm,3.48 pm,3.29 am,0.73,02:05,1.9 m,L,,,1,6.57 am,7.07 pm,3.53 pm,3.33 am,0.75,02:35,1.6 m,L,,,1,6.57 am,7.09 pm,4.39 pm,4.12 am,0.86,03:07,0.9 m,L,,,1,7.03 am,7.15 pm,5.06 pm,4.30 am,0.89,03:00,0.5 m,L,,,1,7.06 am,7.17 pm,7.02 pm,6.23 am,0.98,04:16,0.0 m,L,,,1,7.01 am,7.09 pm,8.26 pm,7.58 am,0.99,05:56,0.0 m,L,,,1,6.52 am,6.58 pm,8.41 pm,8.16 am,0.98,06:20,0.5 m,L,,,1,6.47 am,6.51 pm,10.02 pm,9.39 am,0.9,01:37,3.0 m,H,,,1,6.52 am,6.55 pm,10.32 pm,10.11 am,0.89,02:16,2.8 m,H
,,,,,,,06:33,2.7 m,H,,,,,,,,,07:13,2.5 m,H,,,,,,,,,12:39,0.9 m,L,,,,,,,,,07:43,2.1 m,H,,,,,,,,,08:15,2.1 m,H,,,,,,,,,09:22,2.3 m,H,,,,,,,,,10:13,2.3 m,H,,,,,,,,,11:52,2.6 m,H,,,,,,,,,12:24,2.8 m,H,,,,,,,,,12:01,3.0 m,H,,,,,,,,,07:07,1.4 m,L,,,,,,,,,07:16,1.8 m,L
,,,,,,,13:11,1.3 m,L,,,,,,,,,14:48,0.9 m,L,,,,,,,,,21:54,2.1 m,H,,,,,,,,,14:54,0.8 m,L,,,,,,,,,14:56,0.8 m,L,,,,,,,,,15:18,1.0 m,L,,,,,,,,,15:09,1.3 m,L,,,,,,,,,16:45,1.4 m,L,,,,,,,,,18:07,0.8 m,L,,,,,,,,,18:22,0.4 m,L,,,,,,,,,12:28,3.1 m,H,,,,,,,,,12:46,3.1 m,H
,,,,,,,19:35,2.4 m,H,,,,,,,,,22:43,2.4 m,H,,,2,7.15 am,7.20 pm,3.28 pm,3.07 am,0.72,00:22,2.0 m,H,,,,,,,,,22:24,2.3 m,H,,,,,,,,,21:37,2.3 m,H,,,,,,,,,21:15,2.6 m,H,,,,,,,,,21:07,2.7 m,H,,,,,,,,,22:33,2.9 m,H,,,2,7.01 am,7.09 pm,9.15 pm,8.49 am,0.96,00:00,3.3 m,H,,,2,6.52 am,6.58 pm,9.32 pm,9.09 am,0.93,00:41,3.2 m,H,,,,,,,,,19:11,0.3 m,L,,,,,,,,,19:33,0.5 m,L
,2,7.07 am,7.10 pm,3.27 pm,3.06 am,0.76,01:22,1.6 m,L,,,2,7.17 am,7.21 pm,4.41 pm,4.21 am,0.86,03:03,2.0 m,H,,,,,,,,,05:41,2.3 m,H,,,2,7.05 am,7.13 pm,4.33 pm,4.14 am,0.81,03:41,1.7 m,L,,,2,6.57 am,7.07 pm,4.35 pm,4.14 am,0.83,03:26,1.3 m,L,,,2,6.57 am,7.09 pm,5.29 pm,4.59 am,0.92,03:41,0.6 m,L,,,2,7.03 am,7.15 pm,6.08 pm,5.29 am,0.95,03:43,0.3 m,L,,,2,7.06 am,7.17 pm,8.02 pm,7.26 am,1,05:09,0.1 m,L,,,,,,,,,06:43,0.1 m,L,,,,,,,,,07:01,0.7 m,L,,,2,6.47 am,6.51 pm,10.58 pm,10.35 am,0.83,02:26,2.8 m,H,,,2,6.53 am,6.56 pm,11.22 pm,11.02 am,0.82,02:58,2.7 m,H
,,,,,,,07:20,2.7 m,H,,,,,,,,,08:39,2.5 m,H,,,,,,,,,14:09,0.9 m,L,,,,,,,,,09:13,2.3 m,H,,,,,,,,,09:15,2.3 m,H,,,,,,,,,10:16,2.4 m,H,,,,,,,,,11:09,2.4 m,H,,,,,,,,,12:33,2.7 m,H,,,,,,,,,12:52,2.8 m,H,,,,,,,,,12:31,3.0 m,H,,,,,,,,,07:39,1.6 m,L,,,,,,,,,07:52,1.8 m,L
,,,,,,,14:24,1.1 m,L,,,,,,,,,15:46,0.7 m,L,,,,,,,,,22:43,2.2 m,H,,,,,,,,,15:48,0.7 m,L,,,,,,,,,15:39,0.8 m,L,,,,,,,,,15:54,1.1 m,L,,,,,,,,,16:00,1.4 m,L,,,,,,,,,17:33,1.3 m,L,,,,,,,,,18:50,0.7 m,L,,,,,,,,,19:01,0.3 m,L,,,,,,,,,13:01,3.0 m,H,,,,,,,,,13:24,3.0 m,H
,,,,,,,21:18,2.4 m,H,,,,,,,,,23:24,2.5 m,H,,,3,7.15 am,7.20 pm,4.18 pm,3.58 am,0.8,02:58,2.0 m,H,,,,,,,,,22:43,2.4 m,H,,,,,,,,,21:54,2.5 m,H,,,,,,,,,21:45,2.7 m,H,,,,,,,,,21:52,2.8 m,H,,,,,,,,,23:20,3.1 m,H,,,3,7.01 am,7.09 pm,10.04 pm,9.40 am,0.9,00:48,3.3 m,H,,,3,6.51 am,6.57 pm,10.26 pm,10.02 am,0.86,01:35,3.0 m,H,,,,,,,,,19:52,0.4 m,L,,,,,,,,,20:16,0.6 m,L
,3,7.08 am,7.11 pm,4.14 pm,3.53 am,0.84,02:30,1.7 m,L,,,3,7.17 am,7.21 pm,5.33 pm,5.12 am,0.92,04:03,1.9 m,L,,,,,,,,,08:30,2.3 m,H,,,3,7.05 am,7.12 pm,5.16 pm,4.56 am,0.88,04:05,1.4 m,L,,,3,6.57 am,7.07 pm,5.17 pm,4.55 am,0.9,03:58,1.0 m,L,,,3,6.57 am,7.09 pm,6.24 pm,5.50 am,0.97,04:13,0.4 m,L,,,3,7.03 am,7.15 pm,7.14 pm,6.33 am,0.99,04:28,0.1 m,L,,,3,7.06 am,7.17 pm,8.58 pm,8.26 am,0.99,06:03,0.1 m,L,,,,,,,,,07:28,0.2 m,L,,,,,,,,,07:39,1.0 m,L,,,3,6.47 am,6.51 pm,11.52 pm,11.30 am,0.75,03:13,2.6 m,H,,,3,6.53 am,6.56 pm,NIL,11.48 am,0.74,03:39,2.6 m,H
