2024,Jan,Sun,,Moon,,,Tide,,,,2024,Feb,Sun,,Moon,,,Tide,,,,2024,Mar,Sun,,Moon,,,Tide,,
,,Rise,Set,Rise,Set,Fraction,Time,Height,H/L,,,,Rise,Set,Rise,Set,Fraction,Time,Height,H/L,,,,Rise,Set,Rise,Set,Fraction,Time,Height,H/L
,1,7.07 am,7.10 pm,11.26 pm,11.07 am,0.81,03:00,2.7 m,H,,,1,7.17 am,7.20 pm,NIL,11.40 am,0.72,02:56,2.7 m,H,,,1,7.15 am,7.20 pm,11.28 pm,11.01 am,0.78,01:56,2.8 m,H
,,,,,,,08:05,1.6 m,L,,,,,,,,,08:50,1.2 m,L,,,,,,,,,08:15,0.9 m,L
,,,,,,,13:46,2.9 m,H,,,,,,,,,14:41,2.7 m,H,,,,,,,,,14:22,2.7 m,H
,,,,,,,20:35,0.7 m,L,,,,,,,,,20:52,1.0 m,L,,,,,,,,,20:15,1.1 m,L
,2,7.07 am,7.10 pm,NIL,11.46 am,0.73,03:30,2.6 m,H,,,2,7.17 am,7.21 pm,12.03 am,12.20 pm,0.63,03:20,2.7 m,H,,,2,7.15 am,7.20 pm,NIL,11.47 am,0.7,02:18,2.8 m,H
,,,,,,,08:43,1.6 m,L,,,,,,,,,09:30,1.2 m,L,,,,,,,,,08:46,0.9 m,L
,,,,,,,14:24,2.8 m,H,,,,,,,,,15:26,2.5 m,H,,,,,,,,,15:03,2.4 m,H
,,,,,,,21:11,0.9 m,L,,,,,,,,,21:15,1.3 m,L,,,,,,,,,20:35,1.3 m,L
,3,7.08 am,7.11 pm,12.06 am,12.25 pm,0.64,04:03,2.6 m,H,,,3,7.17 am,7.21 pm,12.46 am,1.05 pm,0.53,03:48,2.6 m,H,,,3,7.14 am,7.20 pm,12.17 am,12.37 pm,0.6,02:46,2.8 m,H
,,,,,,,09:26,1.6 m,L,,,,,,,,,10:26,1.2 m,L,,,,,,,,,09:31,0.9 m,L
,,,,,,,15:07,2.6 m,H,,,,,,,,,16:31,2.2 m,H,,,,,,,,,16:03,2.2 m,H
,,,,,,,21:46,1.1 m,L,,,,,,,,,21:46,1.5 m,L,,,,,,,,,21:03,1.5 m,L
,4,7.08 am,7.11 pm,12.45 am,1.04 pm,0.55,04:41,2.5 m,H,,,4,7.17 am,7.21 pm,1.34 am,1.53 pm,0.43,04:31,2.6 m,H,,,4,7.14 am,7.19 pm,1.11 am,1.32 pm,0.5,03:22,2.7 m,H
,,,,,,,10:18,1.6 m,L,,,,,,,,,11:46,1.2 m,L,,,,,,,,,10:46,1.0 m,L
,,,,,,,16:03,2.4 m,H,,,,,,,,,18:16,2.0 m,H,,,,,,,,,17:50,2.0 m,H
,,,,,,,22:28,1.3 m,L,,,,,,,,,22:37,1.8 m,L,,,,,,,,,21:48,1.8 m,L
,5,7.09 am,7.12 pm,1.26 am,1.44 pm,0.45,05:22,2.5 m,H,,,5,7.17 am,7.21 pm,2.26 am,2.47 pm,0.33,05:30,2.5 m,H,,,5,7.14 am,7.19 pm,2.09 am,2.31 pm,0.39,04:15,2.5 m,H
,,,,,,,11:31,1.5 m,L,,,,,,,,,13:11,1.1 m,L,,,,,,,,,12:26,0.9 m,L
,,,,,,,17:28,2.2 m,H,,,,,,,,,21:18,2.1 m,H,,,,,,,,,21:01,2.1 m,H
,,,,,,,23:22,1.5 m,L,,,6,7.17 am,7.21 pm,3.23 am,3.46 pm,0.24,00:43,2.0 m,H,,,6,7.14 am,7.19 pm,3.09 am,3.33 pm,0.29,00:09,2.0 m,H
,6,7.09 am,7.12 pm,2.09 am,2.27 pm,0.36,06:09,2.5 m,H,,,,,,,,,06:43,2.5 m,H,,,,,,,,,05:43,2.4 m,H
,,,,,,,13:00,1.4 m,L,,,,,,,,,14:22,0.9 m,L,,,,,,,,,13:54,0.8 m,L
,,,,,,,19:18,2.1 m,H,,,,,,,,,22:24,2.3 m,H,,,,,,,,,22:01,2.3 m,H
,7,7.10 am,7.12 pm,2.55 am,3.14 pm,0.26,00:41,1.7 m,L,,,7,7.17 am,7.21 pm,4.25 am,4.49 pm,0.15,02:33,2.0 m,H,,,7,7.13 am,7.19 pm,4.10 am,4.34 pm,0.19,02:28,1.9 m,L
,,,,,,,07:00,2.6 m,H,,,,,,,,,08:13,2.6 m,H,,,,,,,,,08:07,2.5 m,H
,,,,,,,14:09,1.1 m,L,,,,,,,,,15:18,0.7 m,L,,,,,,,,,15:07,0.6 m,L
,,,,,,,21:24,2.3 m,H,,,,,,,,,23:07,2.6 m,H,,,,,,,,,22:41,2.5 m,H
