2024,,Time,Height,H/L
Jan,1,03:00,2.7 m,H
,,08:05,1.6 m,L
,,13:46,2.9 m,H
,,20:35,0.7 m,L
,2,03:30,2.6 m,H
,,08:43,1.6 m,L
,,14:24,2.8 m,H
,,21:11,0.9 m,L
,3,04:03,2.6 m,H
,,09:26,1.6 m,L
,,15:07,2.6 m,H
,,21:46,1.1 m,L
,4,04:41,2.5 m,H
,,10:18,1.6 m,L
,,16:03,2.4 m,H
,,22:28,1.3 m,L
,5,05:22,2.5 m,H
,,11:31,1.5 m,L
,,17:28,2.2 m,H
,,23:22,1.5 m,L
,6,06:09,2.5 m,H
,,13:00,1.4 m,L
,,19:18,2.1 m,H
,7,00:41,1.7 m,L
,,07:00,2.6 m,H
,,14:09,1.1 m,L
,,21:24,2.3 m,H
,8,02:00,1.8 m,L
,,07:50,2.7 m,H
,,15:01,0.9 m,L
,,22:26,2.4 m,H
,9,03:00,1.8 m,L
,,08:41,2.8 m,H
,,15:41,0.7 m,L
,,23:15,2.6 m,H
,10,03:50,1.8 m,L
,,09:30,2.9 m,H
,,16:18,0.5 m,L
,,23:58,2.7 m,H
,11,04:37,1.8 m,L
,,10:18,3.0 m,H
,,17:00,0.3 m,L
,12,00:39,2.8 m,H
,,05:26,1.8 m,L
,,11:05,3.2 m,H
,,17:46,0.2 m,L
,13,01:20,2.9 m,H
,,06:16,1.7 m,L
,,11:52,3.3 m,H
,,18:37,0.2 m,L
,14,02:01,2.9 m,H
,,07:05,1.6 m,L
,,12:41,3.3 m,H
,,19:30,0.2 m,L
,15,02:37,2.9 m,H
,,07:54,1.5 m,L
,,13:30,3.3 m,H
,,20:22,0.3 m,L
,16,03:13,2.9 m,H
,,08:43,1.3 m,L
,,14:22,3.2 m,H
,,21:09,0.5 m,L
,17,03:46,2.9 m,H
,,09:30,1.2 m,L
,,15:18,3.0 m,H
,,21:54,0.8 m,L
,18,04:22,2.8 m,H
,,10:24,1.2 m,L
,,16:28,2.7 m,H
,,22:41,1.2 m,L
,19,05:01,2.8 m,H
,,11:28,1.1 m,L
,,17:52,2.5 m,H
,,23:35,1.5 m,L
,20,05:46,2.7 m,H
,,12:46,1.0 m,L
,,19:50,2.3 m,H
,21,00:48,1.8 m,L
,,06:43,2.7 m,H
,,14:07,0.9 m,L
,,21:48,2.4 m,H
,22,02:18,2.0 m,H
,,07:50,2.7 m,H
,,15:16,0.7 m,L
,,22:56,2.5 m,H
,23,03:33,2.0 m,H
,,09:00,2.7 m,H
,,16:09,0.6 m,L
,,23:41,2.6 m,H
,24,04:24,1.9 m,L
,,09:56,2.8 m,H
,,16:50,0.5 m,L
,25,00:16,2.7 m,H
,,05:03,1.8 m,L
,,10:41,2.9 m,H
,,17:28,0.5 m,L
,26,00:48,2.7 m,H
,,05:35,1.7 m,L
,,11:18,3.0 m,H
,,18:03,0.5 m,L
,27,01:13,2.7 m,H
,,06:07,1.6 m,L
,,11:54,3.0 m,H
,,18:37,0.5 m,L
,28,01:31,2.7 m,H
,,06:39,1.5 m,L
,,12:26,3.0 m,H
,,19:11,0.5 m,L
,29,01:50,2.7 m,H
,,07:13,1.4 m,L
,,13:00,3.0 m,H
,,19:43,0.6 m,L
,30,02:11,2.7 m,H
,,07:45,1.3 m,L
,,13:31,3.0 m,H
,,20:11,0.7 m,L
,31,02:33,2.7 m,H
,,08:16,1.3 m,L
,,14:05,2.9 m,H
,,20:35,0.8 m,L
Feb,1,02:56,2.7 m,H
,,08:50,1.2 m,L
,,14:41,2.7 m,H
,,20:52,1.0 m,L
,2,03:20,2.7 m,H
,,09:30,1.2 m,L
,,15:26,2.5 m,H
,,21:15,1.3 m,L
,3,03:48,2.6 m,H
,,10:26,1.2 m,L
,,16:31,2.2 m,H
,,21:46,1.5 m,L
,4,04:31,2.6 m,H
,,11:46,1.2 m,L
,,18:16,2.0 m,H
,,22:37,1.8 m,L
,5,05:30,2.5 m,H
,,13:11,1.1 m,L
,,21:18,2.1 m,H
,6,00:43,2.0 m,H
,,06:43,2.5 m,H
,,14:22,0.9 m,L
,,22:24,2.3 m,H
,7,02:33,2.0 m,H
,,08:13,2.6 m,H
,,15:18,0.7 m,L
,,23:07,2.6 m,H
,8,03:45,1.9 m,L
,,09:24,2.8 m,H
,,16:09,0.5 m,L
,,23:45,2.7 m,H
,9,04:35,1.7 m,L
,,10:16,3.0 m,H
,,16:58,0.3 m,L
,10,00:20,2.8 m,H
,,05:20,1.6 m,L
,,11:03,3.2 m,H
,,17:46,0.2 m,L
,11,00:52,2.9 m,H
,,06:05,1.4 m,L
,,11:48,3.3 m,H
,,18:37,0.2 m,L
,12,01:20,3.0 m,H
,,06:50,1.2 m,L
,,12:35,3.4 m,H
,,19:24,0.2 m,L
,13,01:48,3.0 m,H
,,07:35,1.0 m,L
,,13:24,3.4 m,H
,,20:07,0.4 m,L
,14,02:16,3.0 m,H
,,08:18,0.9 m,L
,,14:16,3.2 m,H
,,20:48,0.7 m,L
,15,02:45,2.9 m,H
,,09:03,0.8 m,L
,,15:15,3.0 m,H
,,21:24,1.0 m,L
,16,03:16,2.9 m,H
,,09:50,0.8 m,L
,,16:20,2.6 m,H
,,21:58,1.4 m,L
,17,03:50,2.8 m,H
,,10:50,0.8 m,L
,,17:39,2.3 m,H
,,22:33,1.7 m,L
,18,04:33,2.7 m,H
,,12:09,0.9 m,L
,,20:07,2.2 m,H
,,23:41,2.0 m,H
,19,05:37,2.5 m,H
,,13:43,0.8 m,L
,,22:13,2.3 m,H
,20,02:11,2.1 m,H
,,07:31,2.4 m,H
,,15:11,0.8 m,L
,,23:01,2.5 m,H
,21,03:52,2.0 m,H
,,09:07,2.5 m,H
,,16:09,0.6 m,L
,,23:33,2.6 m,H
,22,04:33,1.8 m,L
,,10:01,2.7 m,H
,,16:50,0.6 m,L
,23,00:01,2.6 m,H
,,05:00,1.6 m,L
,,10:41,2.8 m,H
,,17:22,0.5 m,L
,24,00:22,2.6 m,H
,,05:24,1.5 m,L
,,11:13,2.9 m,H
,,17:52,0.5 m,L
,25,00:35,2.7 m,H
,,05:50,1.3 m,L
,,11:43,3.0 m,H
,,18:22,0.5 m,L
